Polarization,Polarization_All,Churn_Rate,Revenue,Avg_Frustration,Active_Users,Mean_Trust,Ingroup_Trust,Outgroup_Trust,Trust_Segregation,Opinion_Clustering,Seed,Condition,Run
0.992707327250108,0.9927159604744354,0.002,499.0,0.6673346693386774,499.0,0.5,0.5,0.5,1.0,0.0784947477904169,52,M5_no_brand_safety,10
0.9870049349254206,0.9921380844335428,0.382,123.6,0.970873786407767,309.0,0.5,0.5,0.5,1.0,0.1184210341977332,52,REF_baseline,10
0.9916540564039752,0.9916540564039752,0.0,200.0,0.582,500.0,0.5251307847082495,0.9821326397919375,0.0383795013850415,25.59003124972136,0.0888737549863166,52,M4_full_no_decay,10
0.99500881701094,0.9953217270110188,0.01,198.0,0.5535353535353535,495.0,0.5,0.5,0.5,1.0,0.089261816356678,53,M0_bridge_intercept,11
0.9944644818819222,0.9944169905857216,0.064,187.2,1.002136752136752,468.0,0.5,0.5,0.5,1.0,0.0983343409346753,53,M1_heal_only,11
0.9923229842503576,0.9940579440413724,0.232,153.60000000000002,0.9817708333333334,384.0,0.5,0.5,0.5,1.0,0.1262216389781821,53,M2_bridge_drop,11
0.9923229842503576,0.9940579440413724,0.232,153.60000000000002,0.9817708333333334,384.0,0.5,0.5,0.5,1.0,0.1262216389781821,53,M3_no_heal_bonus,11
0.99500881701094,0.9953217270110188,0.01,495.0,0.5535353535353535,495.0,0.5,0.5,0.5,1.0,0.089261816356678,53,M5_no_brand_safety,11
0.9928313489834836,0.9965207341372084,0.408,118.4,1.0810810810810811,296.0,0.5,0.5,0.5,1.0,0.1718801468801468,53,REF_baseline,11
0.9939837471879908,0.9940090533433956,0.004,199.2,0.5542168674698795,498.0,0.5269282360831656,0.988916129032258,0.0270985915492957,36.49326671584736,0.1006936176854982,53,M4_full_no_decay,11
0.9902482058371518,0.9902083848909452,0.006,198.8,0.5432595573440644,497.0,0.5,0.5,0.5,1.0,0.089358505108224,54,M0_bridge_intercept,12
0.9891395778737352,0.9889506799783,0.048,190.4,1.1281512605042017,476.0,0.5,0.5,0.5,1.0,0.0941376849358631,54,M1_heal_only,12
0.9912456893778636,0.9924930697234916,0.208,158.4,1.121212121212121,396.0,0.5,0.5,0.5,1.0,0.118079850107362,54,M2_bridge_drop,12
0.9912456893778636,0.9924930697234916,0.208,158.4,1.121212121212121,396.0,0.5,0.5,0.5,1.0,0.118079850107362,54,M3_no_heal_bonus,12
0.9902482058371518,0.9902083848909452,0.006,497.0,0.5432595573440644,497.0,0.5,0.5,0.5,1.0,0.089358505108224,54,M5_no_brand_safety,12
0.9860777976999708,0.9918522874774012,0.364,127.2,0.9528301886792452,318.0,0.5,0.5,0.5,1.0,0.1141760094795369,54,REF_baseline,12
